SchemaName,Type,SourceEntity,TargetEntity,SourceAttribute,TargetAttribute
bookableresourcebooking_qrt_legalrequestses,OneToMany,bookableresourcebooking,qrt_legalrequests,bookableresourcebookingid,regardingobjectid
bookableresourcebooking_qrt_procurementrequestses,OneToMany,bookableresourcebooking,qrt_procurementrequests,bookableresourcebookingid,regardingobjectid
bookableresourcebooking_DeletedItemReferences,OneToMany,bookableresourcebooking,deleteditemreference,bookableresourcebookingid,deletedobject
bookableresourcebooking_qrt_AOSSuggestionBoxes,OneToMany,bookableresourcebooking,qrt_aossuggestionbox,bookableresourcebookingid,regardingobjectid
bookableresourcebooking_qrt_ScheduleRequestses,OneToMany,bookableresourcebooking,qrt_schedulerequests,bookableresourcebookingid,regardingobjectid
bookableresourcebookingexchangesyncidmapping_DeletedItemReferences,OneToMany,bookableresourcebookingexchangesyncidmapping,deleteditemreference,bookableresourcebookingexchangesyncidmappingid,deletedobject
bookableresourcebookingheader_adx_inviteredemptions,OneToMany,bookableresourcebookingheader,adx_inviteredemption,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_adx_portalcomments,OneToMany,bookableresourcebookingheader,adx_portalcomment,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_chats,OneToMany,bookableresourcebookingheader,chat,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_Appointments,OneToMany,bookableresourcebookingheader,appointment,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_Emails,OneToMany,bookableresourcebookingheader,email,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_Faxes,OneToMany,bookableresourcebookingheader,fax,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_Letters,OneToMany,bookableresourcebookingheader,letter,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_PhoneCalls,OneToMany,bookableresourcebookingheader,phonecall,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_Tasks,OneToMany,bookableresourcebookingheader,task,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_SocialActivities,OneToMany,bookableresourcebookingheader,socialactivity,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_Annotations,OneToMany,bookableresourcebookingheader,annotation,bookableresourcebookingheaderid,objectid
bookableresourcebookingheader_bookableresourcebooking_Header,OneToMany,bookableresourcebookingheader,bookableresourcebooking,bookableresourcebookingheaderid,header
bookableresourcebookingheader_msdyn_bookingalerts,OneToMany,bookableresourcebookingheader,msdyn_bookingalert,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_assetmanagementrequestses,OneToMany,bookableresourcebookingheader,qrt_assetmanagementrequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_bidissuances,OneToMany,bookableresourcebookingheader,qrt_bidissuance,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_constructionrequestses,OneToMany,bookableresourcebookingheader,qrt_constructionrequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_designrequestses,OneToMany,bookableresourcebookingheader,qrt_designrequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_developmentrequestses,OneToMany,bookableresourcebookingheader,qrt_developmentrequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_engineeringrequestses,OneToMany,bookableresourcebookingheader,qrt_engineeringrequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_estimateresquestses,OneToMany,bookableresourcebookingheader,qrt_estimateresquests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_financerequestses,OneToMany,bookableresourcebookingheader,qrt_financerequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_legalrequestses,OneToMany,bookableresourcebookingheader,qrt_legalrequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_procurementrequestses,OneToMany,bookableresourcebookingheader,qrt_procurementrequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_DeletedItemReferences,OneToMany,bookableresourcebookingheader,deleteditemreference,bookableresourcebookingheaderid,deletedobject
bookableresourcebookingheader_qrt_AOSSuggestionBoxes,OneToMany,bookableresourcebookingheader,qrt_aossuggestionbox,bookableresourcebookingheaderid,regardingobjectid
bookableresourcebookingheader_qrt_ScheduleRequestses,OneToMany,bookableresourcebookingheader,qrt_schedulerequests,bookableresourcebookingheaderid,regardingobjectid
bookableresourcecategory_bookableresourcecategoryassn_ResourceCategory,OneToMany,bookableresourcecategory,bookableresourcecategoryassn,bookableresourcecategoryid,resourcecategory
msdyn_bookableresourcecategory_requirementresourcecategory_ResourceCategory,OneToMany,bookableresourcecategory,msdyn_requirementresourcecategory,bookableresourcecategoryid,msdyn_resourcecategory
