LogicalName,Label,SchemaName,EntitySetName,IsCustomEntity,IsActivity,PrimaryIdAttribute,PrimaryNameAttribute,Description
expiredprocess,Expired Process,ExpiredProcess,expiredprocesses,False,False,businessprocessflowinstanceid,name,Expired Process Business Process Flow
exportedexcel,Exported Excel,exportedexcel,exportedexcels,True,False,exportedexcelid,name,A Place holder entity to save excel file for each exportretaineddata custom api requests.
exportsolutionupload,ExportSolutionUpload,ExportSolutionUpload,exportsolutionuploads,True,False,exportsolutionuploadid,name,
externalparty,External Party,ExternalParty,externalparties,False,False,externalpartyid,fullname,Information about external parties that need to access Dynamics 365 from external channels.For internal use only
externalpartyitem,External Party Item,ExternalPartyItem,externalpartyitems,False,False,externalpartyitemid,name,Information about external party items that need to access Dynamics 365 from external channels.For internal use only
fabricaiskill,Fabric AISkill,fabricaiskill,fabricaiskills,True,False,fabricaiskillid,name,AISkills published from Fabric.
fax,Fax,Fax,faxes,False,True,activityid,subject,Activity that tracks call outcome and number of pages for a fax and optionally stores an electronic copy of the document.
featurecontrolsetting,FeatureControlSetting,featurecontrolsetting,featurecontrolsettings,True,False,featurecontrolsettingid,name,featurecontrolsetting
federatedknowledgecitation,FederatedKnowledgeCitation,FederatedKnowledgeCitation,federatedknowledgecitations,True,False,federatedknowledgecitationid,federatedknowledgecitationname,Records the Federated Knowledge Citation info for UCI view
federatedknowledgeconfiguration,FederatedKnowledgeConfiguration,FederatedKnowledgeConfiguration,federatedknowledgeconfigurations,True,False,federatedknowledgeconfigurationid,uniquename,FederatedKnowledgeConfigurations component
federatedknowledgeentityconfiguration,FederatedKnowledgeEntityConfiguration,FederatedKnowledgeEntityConfiguration,federatedknowledgeentityconfigurations,True,False,federatedknowledgeentityconfigurationid,name,FederatedKnowledgeEntityConfigurations component
federatedknowledgemetadatarefresh,FederatedKnowledgeMetadataRefresh,FederatedKnowledgeMetadataRefresh,federatedknowledgemetadatarefreshset,True,False,federatedknowledgemetadatarefreshid,searchconfigurationname,Records the Federated Knowledge MetadataRefresh job status
feedback,Feedback,Feedback,feedback,False,False,feedbackid,title,Feedback and rating.
fieldpermission,Field Permission,FieldPermission,fieldpermissions,False,False,fieldpermissionid,,Group of privileges used to categorize users to provide appropriate access to secured columns.
fieldsecurityprofile,Field Security Profile,FieldSecurityProfile,fieldsecurityprofiles,False,False,fieldsecurityprofileid,name,Profile which defines access level for secured attributes
fileattachment,FileAttachment,FileAttachment,fileattachments,False,False,fileattachmentid,filename,File Attachment
filtertemplate,Filter Template,FilterTemplate,filtertemplates,False,False,filtertemplateid,,Template for a filter.
fixedmonthlyfiscalcalendar,Fixed Monthly Fiscal Calendar,FixedMonthlyFiscalCalendar,fixedmonthlyfiscalcalendars,False,False,userfiscalcalendarid,,Fixed monthly fiscal calendar of an organization. A span of time during which the financial activities of an organization are calculated.
flowaggregation,Flow Aggregation,flowaggregation,flowaggregations,True,False,flowaggregationid,name,
flowcapacityassignment,Flow Capacity Assignment,flowcapacityassignment,flowcapacityassignments,True,False,flowcapacityassignmentid,name,Capacity assignment for usage in Power Automate
flowcredentialapplication,Flow Credential Application,flowcredentialapplication,flowcredentialapplications,True,False,flowcredentialapplicationid,name,
flowevent,Flow Event,flowevent,flowevents,True,False,floweventid,name,Entity to store the events that happen during usage of Power Automate.
flowlog,Flow Log,flowlog,flowlogs,True,False,flowlogid,name,
flowmachine,Flow Machine,flowmachine,flowmachines,True,False,flowmachineid,name,
flowmachinegroup,Flow Machine Group,flowmachinegroup,flowmachinegroups,True,False,flowmachinegroupid,name,
flowmachineimage,Flow Machine Image,flowmachineimage,flowmachineimages,True,False,flowmachineimageid,name,
flowmachineimageversion,Flow Machine Image Version,flowmachineimageversion,flowmachineimageversions,True,False,flowmachineimageversionid,name,
flowmachinenetwork,Flow Machine Network,flowmachinenetwork,flowmachinenetworks,True,False,flowmachinenetworkid,name,
flowrun,Flow Run,flowrun,flowruns,True,False,flowrunid,name,
flowsession,Flow Session,flowsession,flowsessions,True,False,flowsessionid,name,Entity to store the information that is generated when a Power Automate Desktop flow runs.
flowsessionbinary,Flow Session Binary,flowsessionbinary,flowsessionbinaries,True,False,flowsessionbinaryid,name,
fxexpression,FxExpression,fxexpression,fxexpressions,True,False,fxexpressionid,name,
gitbranch,Git Branch,GitBranch,gitbranches,True,False,gitbranchid,branchname,
gitconfigurationretrievaldatasource,Git Configuration Retrieval Data Source,GitConfigurationRetrievalDataSource,gitconfigurationretrievaldatasources,True,False,gitconfigurationretrievaldatasourceid,name,
gitorganization,Git Organization,GitOrganization,gitorganizations,True,False,gitorganizationid,organizationname,
gitproject,Git Project,GitProject,gitprojects,True,False,gitprojectid,projectname,
gitrepository,Git Repository,GitRepository,gitrepositories,True,False,gitrepositoryid,repositoryname,
gitsolution,Git Solution,GitSolution,GitSolutions,True,False,gitsolutionid,solutionname,
globalsearchconfiguration,Global Search Configuration,GlobalSearchConfiguration,globalsearchconfigurations,False,False,globalsearchconfigurationid,,
goal,Goal,Goal,goals,False,False,goalid,title,Target objective for a user or a team for a specified time period.
goalrollupquery,Rollup Query,GoalRollupQuery,goalrollupqueries,False,False,goalrollupqueryid,name,Query that is used to filter the results of the goal rollup.
governanceconfiguration,Governance Configuration,GovernanceConfiguration,governanceconfigurations,True,False,governanceconfigurationid,scope,
hierarchyrule,Hierarchy Rule,HierarchyRule,hierarchyrules,False,False,hierarchyruleid,name,Organization-owned entity customizations including mapping Quick view form with Relationship Id
hierarchysecurityconfiguration,Hierarchy Security Configuration,HierarchySecurityConfiguration,hierarchysecurityconfigurations,False,False,hierarchysecuritymodelingsettingid,,
holidaywrapper,HolidayWrapper,holidaywrapper,holidaywrappers,False,False,holidaywrapperid,name,
imagedescriptor,Image Descriptor,ImageDescriptor,imagedescriptors,False,False,imagedescriptorid,,For internal use only.
import,Data Import,Import,imports,False,False,importid,name,Status and ownership information for an import job.
importdata,Import Data,ImportData,importdataset,False,False,importdataid,data,Unprocessed data from imported files.
importentitymapping,Import Entity Mapping,ImportEntityMapping,importentitymappings,False,False,importentitymappingid,,Mapping for entities in a data map.
importfile,Import Source File,ImportFile,importfiles,False,False,importfileid,name,File name of file used for import.
importjob,Import Job,ImportJob,importjobs,False,False,importjobid,,For internal use only.
importlog,Import Log,ImportLog,importlogs,False,False,importlogid,,Failure reason and other detailed information for a record that failed to import.
importmap,Data Map,ImportMap,importmaps,False,False,importmapid,name,Data map used in import.
indexattributes,Index Attribute,IndexAttributes,indexattributes,False,False,indexattributeid,,Stores index attributes
indexedtrait,indexedtrait,indexedtrait,indexedtraits,True,False,indexedtraitid,name,
integrationstatus,Integration Status,IntegrationStatus,integrationstatuses,False,False,integrationentryid,,Contains integration status information.
intelligentmemory,IntelligentMemory,IntelligentMemory,intelligentmemories,True,False,intelligentmemoryid,intelligentmemoryname,Represents intelligent memories used in the system.
interactionforemail,Interaction for Email,InteractionForEmail,interactionforemails,False,False,interactionforemailid,name,
internaladdress,Internal Address,InternalAddress,internaladdresses,False,False,internaladdressid,,"Storage of addresses for a user, business unit, or site."
internalcatalogassignment,Internal Catalog Assignment,InternalCatalogAssignment,internalcatalogassignments,True,False,internalcatalogassignmentid,name,
interprocesslock,Inter Process Lock,InterProcessLock,interprocesslocks,False,False,interprocesslockid,,Inter Process Locks.
invaliddependency,Invalid Dependency,InvalidDependency,invaliddependencies,False,False,invaliddependencyid,,An invalid dependency in the CRM system.
isvconfig,ISV Config,IsvConfig,isvconfigs,False,False,isvconfigid,,An XML document used to configure client extension controls.
kbarticle,Article,KbArticle,kbarticles,False,False,kbarticleid,title,Structured content that is part of the knowledge base.
kbarticlecomment,Article Comment,KbArticleComment,kbarticlecomments,False,False,kbarticlecommentid,title,Comment on a knowledge base article.
kbarticletemplate,Article Template,KbArticleTemplate,kbarticletemplates,False,False,kbarticletemplateid,title,Template for a knowledge base article that contains the standard attributes of an article.
keyvaultreference,Key Vault Reference,KeyVaultReference,keyvaultreferences,True,False,keyvaultreferenceid,keyvaulturi,Contains data that refers to an Azure Key Vault containing credentials used to connect to secure web-hosted resources.
knowledgearticle,Knowledge Article,KnowledgeArticle,knowledgearticles,False,False,knowledgearticleid,title,Organizational knowledge for internal and external use.
knowledgearticlescategories,Knowledge Article Category,KnowledgeArticlesCategories,KnowledgeArticleCategories,False,False,knowledgearticlecategoryid,,Category for a Knowledge Article.
knowledgearticleviews,Knowledge Article Views,KnowledgeArticleViews,knowledgearticleviews,False,False,knowledgearticleviewsid,knowledgearticleidname,No of times an article is viewed per day
knowledgebaserecord,Knowledge Base Record,KnowledgeBaseRecord,knowledgebaserecords,False,False,knowledgebaserecordid,title,Metadata of knowledge base (KB) articles associated with Microsoft Dynamics 365 entities.
knowledgefaq,Knowledge FAQ,KnowledgeFAQ,knowledgefaqs,True,False,knowledgefaqid,botcomponentid,Stores Knowledge Frequently Asked Questions
knowledgesearchmodel,Knowledge Search Model,KnowledgeSearchModel,knowledgesearchmodels,False,False,knowledgesearchmodelid,name,Configuration for automatic suggestion of knowledge articles using text analytics and search
knowledgesourceconsumer,Knowledge Source Consumer,KnowledgeSourceConsumer,knowledgesourceconsumers,True,False,knowledgesourceconsumerid,consumerid,
knowledgesourceprofile,Knowledge Source Profile,KnowledgeSourceProfile,knowledgesourceprofiles,True,False,knowledgesourceprofileid,displayname,
languagelocale,Language,LanguageLocale,languagelocale,False,False,languagelocaleid,name,Language
languageprovisioningstate,Language Provisioning State,LanguageProvisioningState,languageprovisioningstates,False,False,languageprovisioningstateid,,Container for language provisioning checkpoint states
letter,Letter,Letter,letters,False,True,activityid,subject,Activity that tracks the delivery of a letter. The activity can contain the electronic copy of the letter.
license,License,License,licenses,False,False,licenseid,,Stores information about a Microsoft CRM license.
localconfigstore,LocalConfigStore,LocalConfigStore,localconfigstores,False,False,id,,
lookupmapping,Lookup Mapping,LookUpMapping,lookupmappings,False,False,lookupmappingid,,"In a data map, maps a lookup attribute in a source file to Microsoft Dynamics 365."
mailbox,Mailbox,Mailbox,mailboxes,False,False,mailboxid,name,
mailboxstatistics,Mailbox Statistics,MailboxStatistics,mailboxstatistics,False,False,mailboxstatisticsid,,Stores data regarding Mailbox processing cycles
mailboxtrackingcategory,Mailbox Tracking Category,MailboxTrackingCategory,mailboxtrackingcategories,False,False,mailboxtrackingcategoryid,,Stores data about what categories for a mailbox are tracked
mailboxtrackingfolder,Mailbox Auto Tracking Folder,MailboxTrackingFolder,mailboxtrackingfolders,False,False,mailboxtrackingfolderid,,Stores data about what folders for a mailbox are auto tracked
mailmergetemplate,Mail Merge Template,MailMergeTemplate,mailmergetemplates,False,False,mailmergetemplateid,name,Template for a mail merge document that contains the standard attributes of that document.
mainfewshot,MainFewShot,mainfewshot,mainfewshots,True,False,mainfewshotid,query,This fewshot entity will only be updated during solution installation.
makerfewshot,MakerFewShot,makerfewshot,makerfewshots,True,False,makerfewshotid,query,This fewshot is updated by maker for testing the queries and by the NL2SQ with the results
managedidentity,Managed Identity,ManagedIdentity,managedidentities,True,False,managedidentityid,name,Contains data to represent an Azure Active Directory Application used to connect to secure web-hosted resources.
managedproperty,Managed Property,ManagedProperty,managedproperties,False,False,managedpropertyid,logicalname,
maskingrule,Secured Masking Rule,MaskingRule,maskingrules,False,False,maskingruleid,name,Secured Masking Rules to apply to fields.
mcpserver,MCPServer,MCPServer,mcpservers,True,False,mcpserverid,displayname,MCPServers component
mcptool,MCPTool,MCPTool,mcptools,True,False,mcptoolid,name,MCPTools component
metadatadifference,Metadata Difference,MetadataDifference,metadatadifferences,False,False,metadatadifferenceid,,Metadata Difference
